Date,Close,Open,High,Low
2018-02-07,1.2264,1.2378,1.2407,1.2247 
2018-02-06,1.2377,1.2367,1.2434,1.2314
2018-02-05,1.2368,1.2455,1.2475,1.2362
2018-02-02,1.2462,1.2508,1.2519,1.2409
2018-02-01,1.2510,1.2414,1.2524,1.2386
2018-01-31,1.2421,1.2401,1.2476,1.2386
2018-01-30,1.2402,1.2383,1.2455,1.2335
2018-01-29,1.2383,1.2427,1.2436,1.2336
2018-01-26,1.2421,1.2395,1.2495,1.2371
2018-01-25,1.2396,1.2408,1.2537,1.2364
2018-01-24,1.2408,1.2299,1.2417,1.2293
2018-01-23,1.2299,1.2263,1.2308,1.2223
2018-01-22,1.2262,1.2268,1.2276,1.2214
2018-01-19,1.2222,1.2236,1.2296,1.2219
2018-01-18,1.2239,1.2186,1.2267,1.2165
2018-01-17,1.2186,1.2260,1.2324,1.2176
2018-01-16,1.2261,1.2265,1.2284,1.2194
2018-01-15,1.2263,1.2198,1.2298,1.2188
2018-01-12,1.2187,1.2033,1.2190,1.2031
2018-01-11,1.2032,1.1946,1.2060,1.1928
2018-01-10,1.1947,1.1938,1.2019,1.1923
2018-01-09,1.1937,1.1967,1.1977,1.1916
2018-01-08,1.1967,1.2029,1.2054,1.1956
2018-01-05,1.2030,1.2068,1.2085,1.2021
2018-01-04,1.2068,1.2015,1.2090,1.2004
2018-01-03,1.2014,1.2058,1.2070,1.2001
2018-01-02,1.2059,1.2013,1.2084,1.2003
2018-01-01,1.2010,1.2003,1.2014,1.1995
2017-12-29,1.1998,1.1943,1.2030,1.1937
2017-12-28,1.1943,1.1888,1.1961,1.1888
2017-12-27,1.1888,1.1859,1.1912,1.1855
2017-12-26,1.1859,1.1867,1.1879,1.1845
2017-12-25,1.1869,1.1850,1.1882,1.1842
2017-12-22,1.1859,1.1874,1.1878,1.1817
2017-12-21,1.1873,1.1871,1.1889,1.1848
2017-12-20,1.1871,1.1840,1.1903,1.1829
2017-12-19,1.1840,1.1782,1.1851,1.1777
2017-12-18,1.1782,1.1753,1.1834,1.1737
2017-12-15,1.1754,1.1778,1.1814,1.1751
2017-12-14,1.1778,1.1826,1.1863,1.1770
2017-12-13,1.1826,1.1743,1.1832,1.1729
2017-12-12,1.1742,1.1770,1.1794,1.1718
2017-12-11,1.1768,1.1768,1.1812,1.1761
2017-12-08,1.1764,1.1772,1.1778,1.1729
2017-12-07,1.1773,1.1796,1.1816,1.1772
2017-12-06,1.1796,1.1825,1.1849,1.1780
2017-12-05,1.1826,1.1866,1.1879,1.1801
2017-12-04,1.1866,1.1882,1.1890,1.1830
2017-12-01,1.1891,1.1904,1.1942,1.1851
2017-11-30,1.1904,1.1847,1.1933,1.1809
2017-11-29,1.1848,1.1841,1.1883,1.1816
2017-11-28,1.1841,1.1898,1.1921,1.1827
2017-11-27,1.1898,1.1933,1.1962,1.1896
2017-11-24,1.1930,1.1850,1.1944,1.1835
2017-11-23,1.1852,1.1822,1.1856,1.1812
2017-11-22,1.1822,1.1738,1.1829,1.1733
2017-11-21,1.1738,1.1732,1.1759,1.1713
2017-11-20,1.1732,1.1789,1.1808,1.1721
2017-11-17,1.1795,1.1771,1.1823,1.1766
2017-11-16,1.1770,1.1792,1.1802,1.1756
2017-11-15,1.1792,1.1797,1.1861,1.1784
2017-11-14,1.1798,1.1667,1.1807,1.1660
2017-11-13,1.1667,1.1666,1.1677,1.1638
2017-11-10,1.1665,1.1642,1.1680,1.1623
2017-11-09,1.1642,1.1596,1.1657,1.1586
2017-11-08,1.1595,1.1587,1.1612,1.1578
2017-11-07,1.1587,1.1610,1.1618,1.1553
2017-11-06,1.1610,1.1609,1.1625,1.1579
2017-11-03,1.1609,1.1660,1.1692,1.1599
2017-11-02,1.1658,1.1619,1.1689,1.1613
2017-11-01,1.1619,1.1646,1.1659,1.1607
2017-10-31,1.1646,1.1651,1.1663,1.1625
2017-10-30,1.1651,1.1603,1.1660,1.1594
2017-10-27,1.1610,1.1650,1.1659,1.1575
2017-10-26,1.1650,1.1812,1.1837,1.1639
2017-10-25,1.1813,1.1760,1.1819,1.1752
2017-10-24,1.1761,1.1749,1.1794,1.1743
2017-10-23,1.1749,1.1773,1.1779,1.1725
2017-10-20,1.1785,1.1853,1.1859,1.1763
2017-10-19,1.1852,1.1788,1.1860,1.1768
